fyear,gvkey,p_aaer,misstate,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f,dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,EBIT,ch_fcf
2009,65461,2620.5,0,39.908,15.042,99.197,46.995,2.641,111.079,2.12,25.847,0.0,0.0,9.598,-17.393,19.778,0.0,0.737,46.555,52.202,-17.393,166.238,0.0,-60.637,14.72,115.538,0.0,0.293,-5.33,2.259,3.53,-0.108994539,-0.163738638,-0.100195298,-0.1069333,0.399568535,-0.285019997,-0.145780537,-0.031141053,0,4.937456507,0.825796383,-0.611278567,-0.206296561,0.165349523
2009,28334,2620.5,0,307.388,33.438,727.824,541.526,114.334,250.295,56.61,53.592,41.93,24.904,14.276,29.404,60.369,22.119,0.0,115.601,166.577,29.457,208.567,0.0,140.588,93.363,316.472,0.0,1.512,-1.302,9.782,6.15,-0.081366034,-0.309892561,-0.003723883,-0.032586801,0.610096672,-0.742000956,0.145142347,-0.12854928,1,1.555432046,2.530518921,0.193162083,0.052123865,0.155251691
2013,175495,2620.5,0,0.874,0.139,35.688,35.525,0.726,0.065,152.335,0.0,0.0,0.0,0.024,-1.219,0.0,0.0,0.0,0.139,0.163,-1.219,34.879,0.0,-14.612,0.027,0.0,1.532,0.0,0.0,0.0,0.025,-0.001609283,0.012083739,-0.004122023,0.0,0.014094374,1.754716981,-1.010423004,0.084973553,1,4.937456507,1.353309394,-0.409437346,-0.03415714,0.07775378
2011,24803,2620.5,0,50.209,5.198,60.994,-28.46,17.722,50.394,24.47,0.011,0.0,56.18,3.628,-14.812,20.857,0.0,0.404,23.55,89.453,-14.812,103.3,0.001,-1853.138,9.591,140.967,0.0,0.048,-0.619,8.456,2.95,-0.006686727,0.171647017,-0.07789406,-0.080947244,0.612158573,-0.089440202,0.063733586,0.010616748,0,-0.394256544,0.794995412,-30.3822999,-0.11435551,-0.103972294
2008,103342,2620.5,0,11545.534,3723.148,25410.099,4257.396,547.404,35882.704,920.4,1515.943,4580.433,6200.623,469.183,160.589,524.381,26.169,339.053,11646.492,21155.992,160.589,15319.733,0.0,2373.371,5608.889,36356.606,685.828,364.078,-84.37,565.136,15.896,0.027058295,-0.063814546,0.029381306,0.000964006,0.571451886,0.257788074,-1.194807191,-0.069982281,1,0.290991018,0.952411471,0.093402666,0.025240161,0.004650876
1993,15319,2620.5,0,4327.0,794.0,10633.0,3689.0,956.0,9419.0,300.0,1561.0,734.0,1097.0,605.0,560.0,982.0,150.0,884.0,4376.0,6541.0,560.0,11916.0,0.0,1843.0,2351.0,11088.0,0.0,1238.0,220.0,245.0,30.875,-0.102031684,-0.05817596,-0.108923297,-0.019063815,0.395278849,-0.061403509,0.795418907,-8.7707e-05,1,0.398272605,1.05783678,0.173328318,0.096398006,0.052268862
2002,9373,2620.5,0,304.242,149.503,1170.544,581.708,43.471,888.032,42.104,7.002,8.2,265.235,62.498,85.326,107.679,17.4,0.0,162.822,588.836,85.326,1512.103,0.0,454.835,142.395,1189.217,1.657,0.0,48.624,13.914,19.0,0.01374601,0.005773324,-0.004107221,-0.011268237,0.297393349,0.033415937,0.38432703,0.013858082,1,0.727156815,1.012119731,0.388567196,0.126320753,0.014396219
2007,161810,2620.5,0,8.249,0.558,13.299,5.162,0.131,7.331,2.313,5.725,2.0,0.467,0.502,-2.736,4.77,0.0,0.0,7.186,8.137,-2.639,2.418,0.0,-2.213,2.775,9.608,0.078,0.0,0.0,0.467,1.58,-0.101566535,-0.17517645,0.000757445,0.020933035,0.873223551,-0.030801858,14.76894996,-0.113507524,1,1.41248967,0.677557487,-0.166403489,-0.16332055,0.095713548
2003,62808,2620.5,0,0.036,0.899,0.036,-2.258,0.001,0.0,147.598,1.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.294,2.294,-0.898,0.0,0.0,-8.446,0.035,0.0,0.0,0.0,0.0,0.0,0.12,-0.753792299,-1.976662777,-0.304659498,-0.035005834,0.972222222,-0.935890097,0.287044775,-1.095682614,0,-0.127485919,0.974302122,-89.01324503,-7.016393443,3.966393201
1997,10814,2620.5,0,5.18,2.015,6.783,2.467,2.314,10.501,12.158,0.732,0.0,0.578,0.275,-0.875,2.434,0.0,1.033,3.648,4.289,-0.875,3.334,0.0,-2.21,0.045,17.078,0.0,0.0,0.0,0.167,0.03,-0.110968958,0.127129486,0.001885395,-0.056696519,0.457762052,-0.058174191,0.556560726,-0.006411762,0,4.937456507,1.41444851,-0.325814536,-0.104378594,-0.023028752
1996,62495,2620.5,0,9.717,2.564,25.864,21.941,9.367,14.459,11.52,0.0,0.0,0.0,1.067,-1.429,0.148,0.056,1.081,3.174,3.923,-1.429,15.862,0.0,-8.365,0.0,16.55,19.473,0.0,0.0,0.18,3.812,0.0035726965,0.026280209,0.005001114,0.0,0.136908444,0.067917957,-0.0232045695,-0.001893223,1,0.49963301,0.974302122,-0.323422518,-0.048291061,-0.0261545384999999
2014,106370,2620.5,0,12.987,5.155,135.475,101.862,3.354,0.0,320.796,0.005,13.047,26.011,0.359,-12.399,0.13,9.357,0.376,5.16,33.613,-12.399,96.279,0.0,-82.272,8.304,0.0,11.42,0.0,0.0,4.205,0.275,0.036833578,0.204606126,0.035583674,0.000408919,0.271289906,-2.248511099,-0.855996492,0.02180073,1,1.154650534,1.065588635,-0.607285477,-0.060483484,-0.184245043
2014,29910,2620.5,0,1215.681,421.721,1335.124,802.643,194.851,2605.16,28.539,0.241,0.0,5.919,7.375,81.789,504.758,0.0,0.0,499.831,532.481,81.789,64.45,0.0,634.196,464.405,2913.634,12.581,8.685,41.318,0.731,38.08,0.049625756,0.05360606,0.023508116,0.081983526,0.830222511,-0.009780125,0.012224241,0.036149122,1,0.738561613,1.568346534,0.475009063,0.092753932,-0.015894006
2010,5792,2620.5,0,88.4,26.1,126.1,32.6,0.8,378.9,22.848,0.2,204.2,41.9,3.6,-19.4,46.2,0.0,0.0,50.0,93.5,-18.9,58.4,0.0,-6.6,37.1,467.7,0.0,0.0,-0.4,2.1,0.9485,-0.067098742,-0.134197484,-0.035836828,0.008387343,0.851704996,0.058243728,0.429557741,0.001177233,1,1.504291754,0.979444444,-0.052339413,-0.136399683,0.137247427
1997,2188,2620.5,0,7.453,3.883,11.565,1.223,0.041,10.768,2.289,1.094,2.0,3.912,0.384,0.531,5.52,0.0,0.0,5.706,10.342,0.531,10.519,0.0,-6.044,1.365,16.271,0.0,0.0,-0.11,0.774,2.5625,0.092404488,0.138644633,-0.254927229,0.112644027,0.756766105,0.119767309,0.360366718,-0.008721476,1,0.208505152,1.204494076,-0.522611327,0.10332901,-0.152440873
2000,20450,2620.5,0,3.501,9.752,121.673,111.683,0.614,12.812,59.506,0.0,0.0,0.0,6.83,1.326,1.318,0.0,0.04,9.752,9.99,1.326,140.903,0.0,42.792,1.569,24.299,0.0,0.0,2.132,0.036,1.45,-0.019780577,0.039878312,-0.006610218,0.008529852,0.023727532,-0.548787944,-0.484936005,-0.045191463,0,1.29436962,1.239948504,0.351696761,0.028716313,-0.089071022
1997,25331,2620.5,0,169.743,31.611,572.187,355.405,20.389,175.602,24.683,4.619,64.419,94.144,20.8,38.865,55.748,0.0,0.0,86.903,216.782,38.865,175.893,0.0,168.78,77.934,433.272,3.0,0.0,27.498,2.344,24.875,0.013953787,0.302681792,0.105073326,0.014953035,0.755050359,0.184117149,-0.089302169,-0.036312417,1,0.578845286,0.749909774,0.294973496,0.120077877,-0.291675787
1999,121844,2620.5,0,63.902,14.662,286.474,61.435,23.569,102.908,54.499,30.0,228.068,157.568,6.709,34.295,21.994,1.69,0.0,65.602,225.039,31.133,84.46,0.0,50.134,13.311,256.573,97.009,5.635,22.863,19.971,16.3125,0.035146551,0.507291494,0.016962759,0.033861439,0.690073096,0.377023362,0.099942245,0.29813216,1,0.069104576,0.943437261,0.175003665,0.258197952,-0.269040385
2009,179029,2620.5,0,849.357,97.115,881.783,446.911,198.04,358.44,75.74,198.902,40.048,53.016,1.3,42.419,561.897,0.242,40.24,369.098,434.872,42.419,26.562,0.0,-56.124,42.039,448.984,0.399,11.224,19.825,34.8,4.47,0.060577057,0.032427752,0.010313821,0.045186086,0.750482829,0.308636646,0.169919705,0.073786904,1,1.320043431,1.906089644,-0.063648313,0.110054288,0.040246454
2005,12046,2620.5,0,68.659,16.744,555.802,377.565,24.499,25.791,86.818,1.103,10.0,75.0,97.354,28.751,0.0,0.0,1.234,51.721,178.237,28.751,1518.624,0.0,-147.709,41.188,195.004,0.013,0.108,18.0,4.724,4.2,0.029254986,0.117130409,0.025135884,0.0,0.081457066,-0.09147812,0.02268688,-0.015097447,1,1.035458414,1.116987505,-0.26575831,0.092613917,-0.125319933
2011,118182,2620.5,0,2.825,1.399,15.344,6.522,0.599,10.721,41.278,3.605,3.922,3.747,0.606,-4.203,0.597,0.0,0.0,5.075,8.822,-4.203,9.693,0.0,-14.419,1.382,12.354,2.412,0.0,-0.043,0.648,0.18,0.005790735,-0.045726837,0.021099574,-0.083067093,0.542101147,1.048851064,-0.885373004,0.028115182,1,0.877788007,0.698425383,-0.93971585,-0.234489051,-0.081136848
1995,19953,2620.5,0,4.017,2.4,7.832,4.164,1.139,3.803,34.868,0.232,0.0,0.026,0.511,0.477,1.085,0.0,0.0,3.626,3.652,0.62,6.988,0.016,-6.638,1.749,9.293,0.0,0.002,0.066,0.035,0.125,0.09076809,0.324903905,0.107761818,0.025220851,0.367466803,0.191973056,-0.131335508,0.212095485,0,0.955374556,1.218778061,-0.847548519,0.092058223,-0.117067907
1997,61326,2620.5,0,41.49,13.75,95.91,43.392,19.447,62.266,21.5,7.345,1.793,24.149,5.971,-19.503,3.635,0.0,0.0,26.156,52.518,-19.503,73.001,0.0,-60.733,16.897,99.172,0.0,0.199,-3.342,2.644,6.937,0.074515156,-0.065218975,0.022681905,-0.008353935,0.303576269,-0.100604631,0.190207428,0.31337963,1,0.290937402,0.89881916,-0.633229069,-0.210624544,0.59780175
2013,18387,2620.5,0,0.021,0.005,0.027,-32.505,0.015,0.001,7.825,0.0,0.0,0.017,0.001,-32.513,0.004,0.0,0.0,32.515,32.532,-32.545,0.003,0.0,-32.546,0.0,0.001,0.001,0.0,0.0,0.019,0.75,0.0035726965,0.026280209,0.005001114,0.0,0.37037037,0.067917957,-0.0232045695,-0.001893223,1,-5.538658147,0.974302122,-89.01324503,-7.016393443,-0.0261545384999999
2002,9679,2620.5,0,3.81,0.95,7.049,1.996,0.25,7.348,2.605,0.505,0.0,2.374,0.185,0.1,1.955,0.577,0.0,2.679,5.053,0.1,9.873,0.0,-0.811,1.396,15.336,0.0,0.0,0.0,0.328,0.34,-0.030091794,-0.010214646,-0.033956795,-0.048036441,0.58731735,0.017965637,0.179514002,0.237595536,0,2.253584735,1.234034555,-0.11505178,0.060717832,0.271102216
1996,21757,2620.5,0,3.634,1.298,7.673,4.425,0.477,8.914,14.116,0.398,0.0,0.97,0.287,0.82,0.0,1.316,0.0,2.278,3.248,0.82,4.03,0.0,2.887,2.971,12.401,0.0,0.079,0.475,0.177,0.437,-0.044766027,0.108466324,0.063835542,0.0,0.60119901,0.225498254,-0.156559232,0.093385141,0,0.717332005,0.749116608,0.376254399,0.191841522,-0.014471193
1999,64625,2620.5,0,16.296,3.47,267.806,256.63,8.413,25.166,30.823,0.0,0.0,0.0,9.242,18.39,0.882,0.0,0.426,11.176,11.176,18.39,273.925,0.0,-33.522,6.406,59.85,0.0,0.0,0.021,0.112,8.1,0.0035726965,0.026280209,0.005001114,0.0,0.040626424,0.067917957,-0.0232045695,-0.001893223,0,1.02789203,0.974302122,-0.1251727,0.069165739,-0.0261545384999999
2014,27682,2620.5,0,18.661,10.896,392.021,91.581,10.855,4.692,112.791,32.074,256.154,230.033,15.217,-2.851,1.478,0.0,0.0,43.729,300.44,-2.851,364.561,0.0,-24.743,5.234,24.346,0.0,0.0,0.0,4.356,0.47,-0.014913654,0.017548915,0.021858882,0.006172608,0.080699758,0.067917957,-0.0232045695,-0.001394545,1,1.727559748,0.151757023,-0.063116517,0.00383908,-0.025930798
1995,26019,2620.5,0,180.2,86.8,633.9,245.4,1.8,486.8,17.574,4.2,16.3,128.9,26.6,28.4,58.9,15.3,0.0,129.7,388.5,28.4,414.8,0.0,46.7,109.6,611.1,0.0,0.0,17.8,15.0,24.25,0.024029424,0.045279935,0.027625664,0.002125051,0.516958511,0.176633663,0.129206534,-0.007102481,1,0.575827224,0.964309385,0.073670926,0.096545196,-0.047731917
2010,160503,2620.5,0,36.423,2.275,39.805,29.901,32.341,66.074,20.541,0.0,0.0,0.0,2.228,-15.55,0.0,0.0,18.948,9.725,9.904,-15.55,12.779,0.0,-108.912,2.153,118.696,0.159,0.0,0.0,0.0,2.6,0.010043711,-0.030044362,0.007245355,0.0,0.119381987,-0.038442166,-0.006232406,-0.107842447,1,0.559874622,0.95988703,-2.736138676,-0.39065444,-0.027614781
1998,222286,2620.5,0,260.629,91.42,1256.702,402.676,53.469,351.707,103.85,29.517,189.241,592.542,81.073,8.221,3.786,0.337,0.0,248.654,853.836,8.221,965.753,0.0,338.595,187.981,760.088,0.0,0.0,20.412,36.329,40.75,0.001903861,0.021070988,0.06785219,0.002223016,0.407098103,0.289223108,-0.248887234,0.001431201,1,0.095152813,0.978554714,0.269431417,0.051692446,-0.019275214
1997,63666,2620.5,0,36.866,5.869,52.259,37.765,10.554,67.048,13.757,0.0,0.0,0.0,4.706,5.12,11.581,0.0,0.0,14.494,14.494,5.12,23.326,0.0,17.139,9.23,102.203,1.084,0.413,2.944,0.0,7.594,0.052764587,0.206717346,0.053233334,0.015917011,0.506726114,-0.053002425,-0.220734216,-0.085112687,1,0.361489067,1.234223389,0.327962648,0.154308349,-0.269998166
2002,117036,2620.5,0,21.54,0.226,175.885,160.51,14.106,9.892,10.638,0.0,0.0,0.0,0.481,-11.541,0.0,70.955,0.0,15.375,15.375,-11.541,8.861,0.0,28.879,0.116,1.502,0.0,5.564,-4.455,0.09,5.399,-0.160186896,0.080176597,-0.170363198,0.0,0.880217187,0.509622368,0.479697837,-0.060343947,0,2.794658728,2.322937149,0.164192512,-0.09043409,-0.140365371
2004,21686,2620.5,0,57.494,17.753,67.704,17.704,2.135,152.908,11.804,0.242,5.789,27.611,0.914,4.211,32.573,0.0,0.0,22.119,50.0,4.211,10.779,0.0,-24.529,20.768,199.553,0.046,0.614,2.588,1.06,3.73,0.119448553,0.045352801,0.041888461,0.074981611,0.906179842,0.148569429,0.180419374,0.023636424,1,0.402099347,1.012812313,-0.362297649,0.116078814,-0.016625669
2002,125599,2620.5,0,1332.045,16.495,3337.9,1785.459,1210.925,176.309,249.718,64.001,228.0,1115.93,452.417,-417.088,21.275,0.0,0.0,389.986,1544.801,-417.088,3814.212,0.0,-897.006,94.549,449.241,616.947,20.578,7.029,52.061,3.94,-0.002463654,-0.007565284,-0.003175445,0.002625326,0.079614129,-0.181320482,0.084364741,-0.007974504,1,1.814695708,0.988436753,-0.268733635,-0.107252464,-0.00265834
